υ(7-1),I(7-1),υ(7-8),I(7-8),υ(7-9),I(7-9),NPA1,NPA2,NPA3,NPA4,NPA5,NPA6,NPA7,NPA8,NPA9,NMR1,NMR2,NMR3,NMR4,NMR5,NMR6,NMR7,NMR8,NMR9,A(6-1-7),A(2-1-7),A(1-7-9),A(1-7-8),A(8-7-9),A(7-8-11),A(7-8-10),A(10-8-11),D(6-1-7-8),D(2-1-7-9),D(2-1-7-8),D(5-6-1-7),D(3-2-1-7),D(1-7-8-11),D(9-7-8-11),D(1-7-8-10),D(9-7-8-10),AD(7-8),AD(7-1),AD(6-8),AD(2-7),AD(7-9),fp(1),fm(1),fp(7),fm(7),fp(8),fm(8),fp(9),fm(9),L-R1,B1-R1,B5-R1,L-R2,B1-R2,B5-R2,L-R3,B1-R3,B5-R3,iso
1289.45,154.49,1743.44,263.58,3191.38,1.65,-0.0951,-0.2128,-0.2447,0.1468,-0.2436,-0.2134,-0.175,-0.3359,0.2628,51.1959,50.7912,58.8267,50.9922,58.976,59.5052,41.1413,64.9187,23.4717,123.0726,118.5585,116.0271,127.2883,116.6844,119.2706,122.6465,118.0828,2.0531,1.8863,177.9465,179.5514,179.7189,179.9897,0.1578,0.1099,179.722,1.3377,1.4675,3.0458,2.4658,1.0896,-0.0176,-0.1262,0.0068,-0.0037,-0.0143,-0.2116,-0.0031,-0.0279,4.04,1.5,3.06,2.06,1,1,12.18,1.69,4.61,1
1238.84,44.62,1741.36,10.8,3192.71,10.64,-0.0944,-0.2211,-0.2778,0.298,-0.2767,-0.2191,-0.2519,-0.4342,0.2494,50.2423,53.4839,61.5942,35.7518,64.2908,60.8233,47.9183,71.3503,24.4233,122.9541,118.7616,114.5712,126.7066,118.7222,120.5944,122.7483,116.6573,0.1124,0.2699,179.7831,179.8205,179.9081,179.9588,0.0138,0.0702,179.9848,1.3344,1.4754,3.0376,2.4758,1.0892,-0.0215,-0.099,0.006,-0.0573,-0.0186,-0.2623,-0.0038,-0.0352,2.06,1,1,2.06,1,1,12.52,1.51,4.2,0
1266.71,2.89,1765.28,38.61,3167.01,27.85,-0.0744,-0.2391,-0.2536,-0.2612,-0.2526,-0.2462,-0.2769,0.0155,0.2462,45.3562,56.0175,56.5244,58.9838,57.3937,55.4299,58.455,45.0928,24.7084,122.6994,119.1561,114.736,127.9085,117.3348,120.4251,125.114,114.4495,39.3881,35.4437,142.8438,179.618,179.7891,178.7224,3.0284,2.5791,175.67,1.3429,1.477,3.1534,2.4838,1.0902,-0.1297,-0.0327,-0.0332,-0.1582,-0.1538,-0.2228,-0.0417,-0.0412,3,1.52,2.04,3,1.52,2.04,6.28,3.11,3.11,0
1272.35,49.17,1758.75,83.39,3168.25,25.64,-0.041,-0.2366,-0.2024,-0.1944,-0.2062,-0.247,-0.285,0.031,0.2505,37.9738,55.0884,58.508,50.9657,50.4668,54.9984,59.0403,40.56,24.6378,122.7636,118.73,114.6003,127.9144,117.4505,120.262,125.2561,114.4669,37.7582,33.2181,144.5586,179.7271,179.9045,179.0222,3.2558,2.4658,175.2561,1.3438,1.4734,3.1454,2.4795,1.0898,-0.1409,0.005,0.0229,-0.197,-0.0839,-0.2257,-0.0246,-0.0397,3,1.52,2.04,3,1.52,2.04,7.79,1.5,3.16,0
1272.88,3.03,1745.33,123.77,3169.24,20.16,-0.0322,-0.229,-0.2225,0.0329,-0.2199,-0.2376,-0.2891,0.0393,0.2532,35.7654,54.3601,61.1257,40.4459,61.845,54.6468,59.9354,38.1176,24.6115,122.9174,118.6257,114.5461,127.8966,117.5154,120.1515,125.3263,114.5062,37.2944,32.4273,145.1388,179.5559,179.7652,179.2294,3.2669,2.3042,175.1994,1.3442,1.4722,3.146,2.4752,1.0894,-0.1197,0.0351,0.0256,-0.2458,-0.0648,-0.2352,-0.0198,-0.0398,3,1.52,2.04,3,1.52,2.04,7.62,1.5,3.16,0
1271.24,1.98,1761.17,62.92,3169.54,31.67,-0.0648,-0.2291,-0.2297,-0.0792,-0.2284,-0.2371,-0.2805,0.0227,0.2479,43.9508,54.2123,57.5937,51.2351,58.0694,54.4288,59.1404,42.9092,24.6115,123.2006,118.9896,114.5235,128.1418,117.311,120.3013,125.2322,114.4541,37.2701,32.8952,145.2695,179.2384,179.517,178.8074,3.0719,2.5471,175.5736,1.3434,1.4747,3.156,2.48,1.0899,-0.1085,-0.0454,0.0152,-0.1244,-0.0689,-0.2007,-0.02,-0.038,3,1.52,2.04,3,1.52,2.04,10.51,1.8,3.56,0
1272.68,4.98,1736.12,33.5,3163.59,32.5,-0.0733,-0.2306,-0.2382,-0.0803,-0.2396,-0.2387,-0.2777,0.0175,0.2464,45.2547,55.1272,57.0454,49.2357,57.7872,55.8494,58.7373,44.4079,24.6883,123.1115,118.9851,114.5377,128.1863,117.2573,120.3393,125.1628,114.4865,38.0022,33.8727,144.498,179.4306,179.1704,178.4661,3.2013,2.8329,175.4997,1.3432,1.476,3.1582,2.4823,1.0902,-0.1338,-0.038,-0.0237,-0.1475,-0.147,-0.2175,-0.0393,-0.0407,3,1.52,2.04,3,1.52,2.04,11.91,1.89,5.98,0
1336.96,14.07,1767.4,161.63,3190.62,28.28,-0.0481,-0.1822,0.0578,-0.2112,0.0579,-0.1771,-0.2813,-0.1607,0.2543,41.4608,54.4347,36.6086,68.7618,36.5082,60.4939,57.2522,48.805,24.4903,123.2722,118.6116,114.784,126.3251,118.8904,123.7444,120.2337,116.0218,2.87,2.4847,177.2755,179.8666,179.9043,179.9371,0.3115,0.1994,179.552,1.3368,1.4717,3.0349,2.4697,1.089,-0.0072,0.0171,0.0182,-0.2184,-0.0401,-0.2593,-0.0135,-0.0394,3,1.52,2.04,2.06,1,1,6.9,1.5,4.9,0
1321.15,19.09,1757.25,27.86,3204.22,9.69,-0.0453,0.0607,-0.2249,-0.2493,-0.2168,-0.2301,-0.2716,-0.1822,0.2594,49.0266,37.7853,59.2436,56.6254,49.0853,54.6989,55.6155,50.5807,24.3752,120.1057,124.2086,117.3521,123.5725,119.0754,124.0667,119.4978,116.4255,33.4386,29.8439,150.1338,178.4039,176.7693,177.9391,2.0836,3.2503,176.727,1.3365,1.476,2.9965,2.5457,1.0865,-0.0844,0.0016,0.0336,-0.1839,-0.0622,-0.2545,-0.0095,-0.0363,3,1.52,2.04,2.06,1,1,6.34,1.52,4.85,0
1321.31,22.23,1752.51,21.46,3217.06,9.75,-0.029,0.0647,-0.1844,-0.1539,-0.1951,-0.2246,-0.2761,-0.1724,0.2623,45.5713,37.2294,57.4625,50.7771,52.6561,54.5382,56.2127,47.8959,24.3243,120.1193,124.328,117.4222,123.3682,119.2082,124.0276,119.4589,116.5016,32.3348,28.746,150.8288,178.5028,177.1658,178.1647,2.2678,3.1374,176.4301,1.3372,1.4741,2.9869,2.5466,1.0861,-0.0992,0.0174,0.0329,-0.2017,-0.0703,-0.254,-0.0116,-0.0353,3,1.52,2.04,2.06,1,1,8.47,1.59,4.81,0
